Lo	il	the
giorno	giorno	day
se n'andava	andare	was going
e	e	and
l'	il	the
aere	aere	air
bruno	bruno	dark
toglieva	togliere	was taking
li	i	the
animai	animale	animals
che	che	that
sono	essere	are
in	in	in
terra	terra	earth
da	da	from
le	le	the
fatiche	fatica	toils
loro	loro	their
e	e	and
io	io	I
sol	solo	alone
uno	uno	one
m'apparecchiava	apparecchiare	was preparing myself
a	a	to
sostener	sostenere	sustain
la	la	the
guerra	guerra	war
sì	sì	yes
del	del	of
cammino	cammino	journey
e	e	and
sì	sì	yes
de la	de la	of the
pietate	pietà	pity
che	che	that
ritrarrà	ritrarre	will draw back
la	la	the
mente	mente	mind
che	che	that
non	non	not
erra	errare	err
O	o	oh
muse	muse	Muses
o	o	oh
alto	alto	high
ingegno	ingegno	genius
or	ora	now
m'aiutate	aiutare	help me
o	o	oh
mente	mente	mind
che	che	that
scrivesti	scrivere	wrote
ciò	ciò	what
ch'	che	that
io	io	I
vidi	vedere	saw
qui	qui	here
si	si	it will be shown
parrà	parere	will appear
la	la	the
tua	tuo	your
nobilitate	nobiltà	nobility
Io	io	I
cominciai	cominciare	began
Poeta	poeta	poet
che	che	that
mi	mi	me
guidi	guidare	guide
guarda	guardare	look
la	la	the
mia	mio	my
virtù	virtù	virtue
s'	se	if
ell'	ella	she
è	essere	is
possente	possente	powerful
prima	prima	before
ch'	che	that
a	a	to
l'	il	the
alto	alto	high
passo	passo	step
tu	tu	you
mi	mi	me
fidi	fidarsi	trust
Tu	tu	you
dici	dire	say
che	che	that
di	di	of
Silvio	Silvio	Silvio
il	il	the
parente	parente	relative
corruttibile	corruttibile	corruptible
ancora	ancora	still
ad	a	to
immortale	immortale	immortal
secolo	secolo	century
andò	andare	went
e	e	and
fu	essere	was
sensibilmente	sensibilmente	sensibly
Però	però	however
se	se	if
l'avversario	avversario	adversary
d'ogne	di ogni	of every
male	male	evil
cortese	cortese	courteous
i	gli	to him
fu	fu	was
pensando	pensare	thinking
l'alto	l'alto	the high
effetto	effetto	effect
ch'uscir	uscire	that would come out
dovea	dovere	had to
di	di	of
lui	lui	him
e	e	and
'l	il	the
chi	chi	who
e	e	and
'l	il	the
quale	quale	which
non	non	not
pare	parere	seems
indegno	indegno	unworthy
ad	a	to
omo	uomo	man
d'intelletto	d'intelletto	of intellect
ch'e'	che egli	that he
fu	essere	was
de l'alma	di l'alma	of the soul
Roma	Roma	Rome
e	e	and
di	di	of
suo	suo	his
impero	impero	empire
ne l'empireo	nel l'empireo	in the empyrean
ciel	cielo	sky
per	per	for
padre	padre	father
eletto	eletto	elected
la quale	la quale	which
e	e	and
'l quale	il quale	which
a	a	to
voler	volere	want
dir	dire	say
lo	il	the
vero	vero	true
fu	essere	was
stabilita	stabilire	established
per	per	for
lo	il	the
loco	luogo	place
santo	santo	holy
u'	ove	where
siede	sedere	sits
il	il	the
successor	successore	successor
del	di	of
maggior	maggiore	greater
Piero	Pietro	Peter
Per	per	for
quest'	questa	this
andata	andata	journey
onde	da cui	from which
li	gli	him
dai	dare	give
tu	tu	you
vanto	vanto	praise
intese	intendere	understand
cose	cosa	things
che	che	that
furon	essere	were
cagione	causa	cause
di	di	of
sua	suo	his
vittoria	vittoria	victory
e	e	and
del	del	of
papale	papale	papal
ammanto	manto	mantle
Andovvi	andare	went
poi	poi	then
lo	il	the
Vas	vaso	vessel
d'elezione	d'elezione	of election
per	per	in order to
recarne	recarne	bring back
conforto	conforto	comfort
a	a	to
quella	quella	that
fede	fede	faith
ch'è	che è	that is
principio	principio	beginning
a	a	to
la	la	the
via	via	way
di	di	of
salvazione	salvezza	salvation
Ma	ma	but
io	io	I
perché	perché	why
venirvi	venire	come
o	o	or
chi	chi	who
'l	il	the
concede	concedere	grant
Io	io	I
non	non	not
Enea	Enea	Aeneas
io	io	I
non	non	not
Paulo	Paolo	Paul
sono	essere	am
me	me	me
degno	degno	worthy
a	a	to
ciò	ciò	this
né	né	neither
io	io	I
né	né	nor
altri	altro	others
'l	il	the
crede	credere	believe
Per che	per che	because
se	se	if
del	del	of
venire	venire	come
io	io	I
m'abbandono	abbandonare	abandon myself
temo	temere	fear
che	che	that
la	la	the
venuta	venuta	coming
non	non	not
sia	essere	should be
folle	folle	foolish
Se'	sei	you are
savio	savio	wise
intendi	intendere	understand
me'	mei	me
ch'	che	that
i'	io	I
non	non	not
ragiono	ragionare	reason
E	e	and
qual	quale	which
è	essere	is
quei	quel	that
che	che	that
disvuol	disvolere	change one's mind
