1 Ἡ μὲν ἡμέρα παρήρχετο, καὶ πάντα	1 Hē mèn hēméra parěrcheto, caè pánta			1 The day passed away, and all
	Ἡ	Hē	ὁ	the
	μὲν	mèn	μέν	
	ἡμέρα	hēméra	ἡμέρα	day
	παρήρχετο	parěrcheto	παρέρχομαι	passed away
	καὶ	caè	καί	and
	πάντα	pánta	πᾶς	all
2 Ὁ μελανώδης ἀὴρ τἀπὶ γῆς ζῶντα	2 Ho melanǒdēs aḕr ta'pì gês zônta			2 The dark air the living on the earth
	Ὁ	Ho	ὁ	the
	μελανώδης	melanǒdēs	μελανώδης	dark
	ἀὴρ	aḕr	ἀήρ	air
	τἀπὶ	ta'pì	τὰ ἐπί	the upon
	γῆς	gês	γῆ	earth
	ζῶντα	zônta	ζάω	living
3 Τῶν πόνων ἀπήλαυνεν· ἐγὼ δὲ μόνος	3 Tôn pónōn apělaunen; egṑ dè mónos			3 Drove away of the labors; but I alone
	Τῶν	Tôn	ὁ	of the
	πόνων	pónōn	πόνος	labors
	ἀπήλαυνεν	apělaunen	ἀπαιτέω	drove away
	ἐγὼ	egṑ	ἐγώ	I
	δὲ	dè	δέ	but
	μόνος	mónos	μόνος	alone
4 Ἡτοιμαζόμην ὑποστῆναι τὸ βάρος	4 Hētoemazómēn hypostênae tò báros			4 I was preparing to bear the burden
	Ἡτοιμαζόμην	Hētoemazómēn	ἑτοιμάζω	I was preparing
	ὑποστῆναι	hypostênae	ὑποστέλλω	to bear
	τὸ	tò	ὁ	the
	βάρος	báros	βάρος	burden
5 Τῆς τε πορείας καὶ τοῦ ψυχικοῦ πάθους,	5 Tês te poreías caè tû psychicû páthūs,			5 Of the journey and the psychological passion,
	Τῆς	Tês	ὁ	of the
	τε	te	τε	
	πορείας	poreías	πορεία	journey
	καὶ	caè	καί	and
	τοῦ	tû	ὁ	of the
	ψυχικοῦ	psychicû	ψυχικός	psychological
	πάθους	páthūs	πάθος	passion
6 Ὅ νῦν ἡ πιστὴ μνήμη μου περιγράψει.	6 Hó nŷn hē pistḕ mněmē mū perigrápsei.			6 Who now, my faithful memory will describe.
	Ὅ	Hó	ὅς	who
	νῦν	nŷn	νῦν	now
	ἡ	hē	ὁ	the
	πιστὴ	pistḕ	πιστός	faithful
	μνήμη	mněmē	μνήμη	memory
	μου	mū	ἐγώ	of mine
	περιγράψει	perigrápsei	περιγράφω	will describe
7 Ὦ Μοῦσαι, πνεῦμα θεῖον, νῦν βοηθεῖτε·	7 Ô Mûsae, pnéùma théìon, nŷn boēthéìte;			7 O Muses, divine spirit, now help;
	Ὦ	Ô	ὦ	O
	Μοῦσαι	Mûsae	Μοῦσα	Muses
	πνεῦμα	pnéùma	πνεῦμα	spirit
	θεῖον	théìon	θεῖος	divine
	νῦν	nŷn	νῦν	now
	βοηθεῖτε	boēthéìte	βοηθέω	help
8 Ὦ μνήμη τ', ἐν ᾗ γέγραπται πάνθ' ὅσ' εἶδον,	8 Ô mněmē t', en hệ gégraptae pánth' hós' éìdon,			8 O memory, in which all that I saw is written,
	Ὦ	Ô	ὦ	O
	μνήμη	mněmē	μνήμη	memory
	τ'	t'	τε	
	ἐν	en	ἐν	in
	ᾗ	hệ	ὅς	which
	γέγραπται	gégraptae	γράφω	is written
	πάνθ'	pánth'	πᾶς	all
	ὅσ'	hós'	ὅς	that
	εἶδον	éìdon	ὁράω	I saw
